state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR,first_choice_SD_STY,first_choice_CON_CTR,first_choice_CON_SD,first_choice_CON_STY,first_choice_STY_REF,first_choice_SD_CON,first_choice_STY_SD,first_choice_REF_STY,first_choice_CON_REF,first_choice_SD_LIB,first_choice_SD_CTR
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.08700077348829774,0.03766580374984235,0.049909889812049836,0.07028717536211627,0.037887333016127886,0.05080241301110351,0.0651226247062161,0.06264102812491242,0.013320751217881656,0.023582120403087242,0.06381493278789958,0.0745624112271068,0.03828626768823092,0.04657766748378009,0.042492774334358406,0.06258350900953236,0.042243487241468744,0.06191750736492333,0.02891907495693082,0.0403824550141339
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.06899308379988689,0.09988272496178673,0.04633935618200104,0.018504800869994505,0.06336716998134266,0.05860275376459643,0.005660970944909312,0.041276398600549456,0.005593352847748028,0.04784665530404346,0.007763379962862279,0.03465641985611932,0.1266268718740689,0.02864740826188355,0.028334394827684475,0.061006599054286084,0.06478558986158234,0.012159579903557404,0.09786393183749967,0.0820885573035975
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.04608186150946113,0.05118617831540009,0.03041079529766066,0.12039970471307126,0.05154323450090283,0.039238388952521464,0.011249258523934855,0.05104450912042288,0.05065329835322743,0.0379881825216251,0.056379715584467104,0.07583987041413418,0.0391484429437767,0.07112121270700537,0.04226026207645144,0.024103660338098833,0.06835125697236843,0.04202626839259701,0.05555668163334466,0.0354172171295286
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.06339036778668287,0.07540492962229416,0.013686019018515752,0.051196658515321326,0.02486750018792596,0.05888891994115675,0.036964324045382066,0.07226083737369533,0.03149133525901696,0.02424641016594813,0.06247704422283385,0.022471129672084547,0.07861204340473008,0.03397989609636879,0.03611683036662186,0.13322209038032357,0.053147228043764934,0.08325602578448586,0.01552691147044601,0.028793498642401213
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.037477152762805645,0.05947039559881179,0.052171637691234854,0.06342876036668606,0.06334611355584403,0.034595776579798544,0.04434720010063872,0.03133983155068731,0.050686358153576944,0.04471015888519176,0.049188495856010664,0.044548184455483225,0.04186057279906496,0.05312193427175064,0.046053915120771574,0.0783852302208653,0.05246418419090642,0.037494603879210636,0.058506795201072534,0.05680269875958843
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.07198275734893302,0.04136553640094776,0.034935695878961046,0.05475243808685537,0.06942211226034214,0.04939469820422471,0.012946768227468456,0.05269682555403269,0.061187443967156765,0.030702484391645857,0.04798182324562295,0.07850039833434842,0.06673002828319873,0.041427588138146884,0.022445691162439864,0.0694983490387552,0.04471033666295303,0.044545035177792645,0.07386260428969015,0.030911385346484254
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.07133212059729957,0.057504978204720725,0.08400885258794792,0.041840151202932496,0.09233349991606633,0.05511390575431923,0.0445759942399511,0.030356696785858943,0.04159826119060674,0.0390796563486865,0.043941051805435886,0.050567784970846276,0.0348367983144368,0.023708403839858908,0.046867670639037164,0.026380822407066774,0.02163831998261548,0.03791379304332348,0.10354480413639652,0.0528564340325932
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.03949678478175428,0.07645200271080102,0.030143178275400025,0.041000648092756393,0.04812463235264573,0.05666408015689508,0.02967008462621195,0.008192691901670011,0.024494439743910145,0.06353304645736518,0.08186896389499927,0.05641178044332119,0.02246140347639213,0.03550840699704713,0.15363299135822922,0.05376860472175321,0.00823194428058812,0.0052894868778309186,0.10196773612531798,0.06308709272511091
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.029929538119010016,0.0218360746968143,0.10891809550469667,0.0,0.08765050070352676,0.0,0.03807418666685609,0.09344948958005987,0.10083781965712589,0.021211390153615565,0.01875989405376334,0.04466859965847756,0.0212483926358422,0.003316384822355599,0.12401967873630457,0.056722344010703314,0.022122740231398846,0.020635028581443247,0.10811625561877196,0.07848358656923424
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.04783717574887369,0.04690980512137085,0.08053868335047144,0.04156900321555481,0.0342265859023207,0.043695377958164736,0.055277853687985386,0.05130499682511447,0.01968571431133979,0.0442819464087197,0.06893978809598736,0.041702448333714136,0.056327284924355354,0.04976207902930016,0.07238320590985507,0.042666292292715964,0.04120171356380178,0.06810893400082954,0.03519900856478055,0.05838210275474444
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.04985969367961807,0.032859545272296536,0.0228991369417065,0.06551284992775193,0.06832517611720729,0.04274061354288822,0.045884303780746656,0.04969615592217258,0.027218366514362314,0.05195290140772664,0.0208342648511743,0.016255787464244085,0.05519114351066492,0.0603869097941433,0.050618147311649396,0.06292922115929016,0.0491878917330061,0.05298875792226485,0.06455793468929209,0.03472012534387874,0.08138650287072169,0.03741318215222405,0.06219976398459074
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.09074132814442311,0.024620781399219263,0.020004037006609195,0.04773209140493019,0.04981332046809675,0.017441964711427137,0.031237709312655078,0.07042461058677939,0.03903894958675478,0.08955423824366933,0.02013484711579879,0.004336340511820348,0.11232648120050409,0.03876805905882354,0.023344351526430607,0.09584122225108087,0.07401313364318099,0.051734833362975116,0.03654651289717176,0.0031760306113521007,0.06600480403432993,0.08273123355015576,0.04579926592206346
16,ID,325.3257376171863,0.20463126520678573,0.09963089124335596,0.09876664136983487,0.11802022446045173,0.06771348154331189,0.1682708938292832,0.11596533728371589,0.032011284620680654,0.06327144299049374,0.031718537452086235,0.07676584291835434,0.032274323584092386,0.040076198100803484,0.054952006860904345,0.042941335056889594,0.06261116840836338,0.0663896879673505,0.05518867884268823,0.03134117150743768,0.05642202331161078,0.0780174827370354,0.08588757704751249,0.045745341425980954,0.022455689911084764,0.032128668365434036,0.04206536286457954,0.045142606496612406,0.06695058308397095,0.01831653371502738,0.044327717794267335
17,IL,1460.3318361668644,0.1694762314632719,0.14751637888936087,0.11122412586928143,0.07031022576289941,0.10912528356107526,0.09711397398545024,0.10621777000861982,0.06590167285406419,0.06060214443856429,0.06251219316741254,0.048841516623512646,0.0612948879177305,0.04098779245291236,0.057173929013311836,0.06208199842365079,0.03974471237385883,0.08520153446145314,0.03258051393589912,0.05901332470128132,0.03630898716289836,0.07080540502923159,0.05186398264954418,0.04599818826194877,0.03269917477561473,0.03749540807160354,0.03906476823465191,0.03469177881534561,0.0458771412484933,0.06552002043066249,0.052754935416395136
18,IN,994.9890932957763,0.19892570421824254,0.13636087916115552,0.13516936118677372,0.10344310424846466,0.07687500326701606,0.11049083235029818,0.09935432945830594,0.05382922066793847,0.05018115831488827,0.03537040712691661,0.07443540340502745,0.044516614764390144,0.05205728542596536,0.055643295558831816,0.045209417150923144,0.046251791129617775,0.04864989036653906,0.050567442268331916,0.03806961795382107,0.034811136003114355,0.05709631428459376,0.038463403007067895,0.05033354693184607,0.027486147704723986,0.08469149634773875,0.02850388037699451,0.047312153768260215,0.08590339711036815,0.03646150534493794,0.05353626109690664
19,IA,446.7912192181343,0.1851035748871191,0.14245954265550112,0.12618605839049882,0.10517091814089673,0.06169812839022732,0.10993831935396098,0.12063546253063327,0.0551372914626021,0.06446609449542472,0.029204609693135538,0.04350029400237635,0.023258333366902327,0.04356577146690785,0.05709642424368492,0.04082356045453677,0.034787494905248045,0.06991148666063406,0.05940837264924869,0.024515597439764204,0.019373390529215488,0.09376978771130944,0.05428332166165131,0.0998933191775988,0.06948430577863696,0.0831427250808331,0.043447406680536114,0.03824966582357375,0.02094274038342595,0.033307129569685005,0.04723887241423067
20,KS,372.6996859218709,0.22446507011734318,0.10596213308116399,0.14493820019306228,0.08775738281608654,0.10685749925847142,0.1129607332276942,0.08264991536247564,0.021293984312756982,0.06904442910607443,0.044070652524871176,0.07924235404137972,0.041916965657437626,0.07753920235937534,0.042717089477947175,0.06640207666744008,0.028903150421722153,0.032659956148038106,0.05490969693599938,0.048145200124443066,0.010191008470927332,0.048896441321956655,0.08709881354411164,0.06445735972218217,0.0487320211405397,0.0794099997827336,0.0551148519400636,0.024164268344606086,0.048952117888842954,0.036125192183379715,0.024422233826873845
21,KY,717.9252799112746,0.209003631360063,0.1337945980884959,0.14331458720242984,0.1087827235927458,0.05923365178830753,0.12367712866425966,0.0990247600465002,0.05185857215303708,0.04607041760325513,0.025239929500905697,0.07360137120263237,0.06235735375102085,0.028126041749259943,0.07777498441800455,0.04977216208568208,0.08505606712020697,0.05741947347622617,0.036064099829522585,0.024131982925720566,0.017929970333798166,0.08476939015680669,0.06173338278348691,0.049313776702820215,0.054272251141475915,0.041894121588968374,0.02905882941387773,0.05833944310554976,0.04291024881364867,0.014814303972923755,0.0506607454283677
22,LA,508.4085817640956,0.19994036467489726,0.10549893831331408,0.1814434686659227,0.11725177546274677,0.045056229733150654,0.08350959929645116,0.14513511072845314,0.047869656481208486,0.03384045810708984,0.04045439853676584,0.08087862316247466,0.036743104554206485,0.040768184519059246,0.07948781116066414,0.02690434263864624,0.024537139698001333,0.016539953821296645,0.016084404158721706,0.04063577449527849,0.0350935677936587,0.10627366702190628,0.05022677325911717,0.06273747915820034,0.07580419078192989,0.04482477799184397,0.019145257387241744,0.09033260335573655,0.050553149441738776,0.025238328271996298,0.07719086732828144
23,ME,243.15825432865347,0.13627169928320618,0.1479276504246746,0.08979900147531426,0.071515022923328,0.13464629505629583,0.1473827701274051,0.07705023713443568,0.05176007829161887,0.07410430760383982,0.0695429376798816,0.05245287605631301,0.04215658818660249,0.022103627457804816,0.059769799852135944,0.11392829809364673,0.10552088508727554,0.02471777139193236,0.0505804965926035,0.06204722980034065,0.053227903804265,0.03629071451759249,0.041154563549217045,0.040872923046952454,0.02160335796914542,0.040130202484920614,0.02831436592631545,0.04532262087540153,0.0565154008710196,0.051671153026612564,0.05161922140990285
24,MD,782.1392251325467,0.12924431813665244,0.17333833597108028,0.15313481656063535,0.05980420392820076,0.10175377624174871,0.1114442462153964,0.08228585229321687,0.06308555066448329,0.04249874873948778,0.08341015124909797,0.037100906995399786,0.04574294996582145,0.08088115667207718,0.04168737943253964,0.058985516218263784,0.07392551654301814,0.0361397751778925,0.03709161995605649,0.04681766996074808,0.0921503983420678,0.038027149637441325,0.03591539641345182,0.047309826034626516,0.02063358685412281,0.04146672157605793,0.07956899821615838,0.03178143364123342,0.038276522800174136,0.07603793448363162,0.040459541079217176
25,MA,790.9676385842274,0.16071855092603785,0.1713470125723615,0.1124387123351679,0.06648887059408312,0.1306130543599223,0.08074429001337714,0.0533921385352189,0.06156622446605848,0.0760755595849766,0.08661558661279599,0.04919567284810093,0.05747705726107238,0.035765740117033144,0.03701972353415843,0.07166590666500387,0.032817580639493554,0.03222520552316157,0.07558592636227315,0.08005869425354398,0.032197528265942944,0.040510485496165885,0.06120422866135007,0.05453223414409776,0.05121585698004107,0.041422220832417624,0.03963892711192459,0.036086822160608246,0.06257139730271981,0.06320709966110441,0.04560169217978648
26,MI,1329.584123339628,0.20749943670358936,0.13312363762943943,0.09994050279332223,0.11290586273490309,0.09694374524327366,0.11438237301639446,0.08059122472652577,0.04367322730533406,0.062316268010565036,0.04862372183665272,0.07168583283177205,0.04899081769042919,0.03962533082981513,0.08784009985966375,0.06997099509980582,0.044752710089745185,0.029053850186362046,0.03492841517126331,0.03820575449945494,0.04674236523100524,0.03994421884765208,0.08699231679387708,0.03250821254361549,0.05115410916943417,0.04327433586750856,0.029530667851249977,0.03875626297194395,0.06048336675101414,0.057952932629226676,0.04760740508516124
27,MN,714.0147451905302,0.14898233312684017,0.14405837276603714,0.08189010159102578,0.08218313633662191,0.13635766637752839,0.12177046743922418,0.07224634713420063,0.07303221460392828,0.041230896988083264,0.0982484636365102,0.04076228140223413,0.055356112084032114,0.014532538393223627,0.06150057958524582,0.06367909432748989,0.02995368751777704,0.033138717666890354,0.044290688388296334,0.07095996589050378,0.06648440630585553,0.04219347448740074,0.06095321837150304,0.05935902592946074,0.033939809926081026,0.048783078381301255,0.017520265118121228,0.08302404743403732,0.03998925181076431,0.08537105388734774,0.0482087030924341
28,MS,444.2501713864426,0.18223941305599736,0.12725330243678493,0.2647117805377931,0.0765180124546201,0.03216753316545722,0.11351915763644388,0.09168282544312965,0.07614884524737388,0.02845978830381411,0.007299341718585738,0.0487659205743194,0.059305670158037,0.07154696186685792,0.0273688883713103,0.0424567336295867,0.03725131248398611,0.05315147733442623,0.037904773540494825,0.004474474680985014,0.040135838801163295,0.04131423837531558,0.05706081926309991,0.08709773836285414,0.04035622822657616,0.04491424310580457,0.11853995761482775,0.030867731006077485,0.10462760453328869,0.007669592083602629,0.04518979598738635
